"U:0","U:1","U:2","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0,3.2001e+06,-7.5563e-05,-0.0019353,-3.6312e-09,-9.3574e-22,0.21996,,0.32238,0.33238,0,0
0,0,0,0,0,3.2001e+06,-7.7192e-05,-0.0019338,-3.6064e-09,-9.5591e-22,0.21987,,0.32437,0.33437,0,0
0,0,0,0,0,3.2001e+06,-7.8822e-05,-0.0019322,-3.5815e-09,-9.7609e-22,0.21978,,0.32636,0.33636,0,0
0,0,0,0,0,3.2001e+06,-8.0452e-05,-0.0019306,-3.5567e-09,-9.9626e-22,0.21969,,0.32835,0.33835,0,0
0,0,0,0,0,3.2001e+06,-8.2016e-05,-0.0019291,-3.5314e-09,-1.0156e-21,0.2196,,0.33034,0.34034,0,0
0,0,0,0,0,3.2001e+06,-8.3519e-05,-0.0019276,-3.5058e-09,-1.0342e-21,0.21952,,0.33233,0.34233,0,0
0,0,0,0,0,3.2001e+06,-8.5022e-05,-0.0019261,-3.4802e-09,-1.0528e-21,0.21943,,0.33432,0.34432,0,0
0,0,0,0,0,3.2001e+06,-8.6525e-05,-0.0019245,-3.4546e-09,-1.0714e-21,0.21935,,0.33631,0.34631,0,0
0,0,0,0,0,3.2001e+06,-8.7981e-05,-0.001923,-3.4285e-09,-1.0895e-21,0.21926,,0.3383,0.3483,0,0
0,0,0,0,0,3.2001e+06,-8.934e-05,-0.0019216,-3.4013e-09,-1.1063e-21,0.21918,,0.34029,0.35029,0,0
0,0,0,0,0,3.2001e+06,-9.0699e-05,-0.0019201,-3.3741e-09,-1.1231e-21,0.21909,,0.34228,0.35228,0,0
0,0,0,0,0,3.2001e+06,-9.2057e-05,-0.0019186,-3.3468e-09,-1.1399e-21,0.21901,,0.34427,0.35427,0,0
0,0,0,0,0,3.2001e+06,-9.3415e-05,-0.0019172,-3.3196e-09,-1.1567e-21,0.21892,,0.34626,0.35626,0,0
0,0,0,0,0,3.2001e+06,-9.4724e-05,-0.0019158,-3.2933e-09,-1.1729e-21,0.21884,,0.34825,0.35825,0,0
0,0,0,0,0,3.2001e+06,-9.6032e-05,-0.0019143,-3.2669e-09,-1.1891e-21,0.21876,,0.35024,0.36024,0,0
0,0,0,0,0,3.2001e+06,-9.7341e-05,-0.0019129,-3.2405e-09,-1.2053e-21,0.21868,,0.35223,0.36223,0,0
0,0,0,0,0,3.2001e+06,-9.865e-05,-0.0019115,-3.2141e-09,-1.2215e-21,0.2186,,0.35422,0.36422,0,0
0,0,0,0,0,3.2001e+06,-9.9947e-05,-0.0019101,-3.1888e-09,-1.2376e-21,0.21852,,0.35621,0.36621,0,0
0,0,0,0,0,3.2001e+06,-0.00010124,-0.0019088,-3.1641e-09,-1.2535e-21,0.21844,,0.3582,0.3682,0,0
0,0,0,0,0,3.2001e+06,-0.00010253,-0.0019074,-3.1395e-09,-1.2695e-21,0.21836,,0.36019,0.37019,0,0
0,0,0,0,0,3.2001e+06,-0.00010382,-0.001906,-3.1148e-09,-1.2855e-21,0.21829,,0.36218,0.37218,0,0
0,0,0,0,0,3.2001e+06,-0.0001051,-0.0019047,-3.0903e-09,-1.3014e-21,0.21821,,0.36417,0.37417,0,0
0,0,0,0,0,3.2001e+06,-0.00010636,-0.0019033,-3.0674e-09,-1.3169e-21,0.21813,,0.36616,0.37616,0,0
0,0,0,0,0,3.2001e+06,-0.00010762,-0.001902,-3.0446e-09,-1.3325e-21,0.21806,,0.36815,0.37815,0,0
0,0,0,0,0,3.2001e+06,-0.00010888,-0.0019007,-3.0217e-09,-1.3481e-21,0.21798,,0.37014,0.38014,0,0
0,0,0,0,0,3.2001e+06,-0.00011013,-0.0018994,-2.9988e-09,-1.3636e-21,0.21791,,0.37213,0.38213,0,0
0,0,0,0,0,3.2001e+06,-0.00011137,-0.0018981,-2.9767e-09,-1.3789e-21,0.21783,,0.37412,0.38412,0,0
0,0,0,0,0,3.2001e+06,-0.00011257,-0.0018968,-2.9554e-09,-1.3938e-21,0.21776,,0.37611,0.38611,0,0
0,0,0,0,0,3.2001e+06,-0.00011378,-0.0018955,-2.9342e-09,-1.4087e-21,0.21768,,0.3781,0.3881,0,0
0,0,0,0,0,3.2001e+06,-0.00011498,-0.0018942,-2.9129e-09,-1.4237e-21,0.21761,,0.38009,0.39009,0,0
0,0,0,0,0,3.2001e+06,-0.00011619,-0.001893,-2.8916e-09,-1.4386e-21,0.21754,,0.38208,0.39208,0,0
0,0,0,0,0,3.2001e+06,-0.00011733,-0.0018917,-2.8706e-09,-1.4527e-21,0.21747,,0.38407,0.39407,0,0
0,0,0,0,0,3.2001e+06,-0.00011845,-0.0018905,-2.8497e-09,-1.4666e-21,0.2174,,0.38606,0.39606,0,0
0,0,0,0,0,3.2001e+06,-0.00011957,-0.0018893,-2.8288e-09,-1.4804e-21,0.21732,,0.38805,0.39805,0,0
0,0,0,0,0,3.2001e+06,-0.00012069,-0.001888,-2.8079e-09,-1.4943e-21,0.21725,,0.39004,0.40004,0,0
